timestamp	state
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	2
9	2
10	0
11	0
12	2
13	2
14	2
15	2
16	2
17	2
18	2
19	2
20	2
21	0
22	0
23	0
24	2
25	2
26	2
27	2
28	2
29	2
30	2
31	2
32	0
33	0
34	0
35	0
36	2
37	2
38	2
39	2
40	2
41	0
42	0
43	2
44	2
45	2
46	2
47	2
48	2
49	1
50	1
51	2
52	2
53	2
54	2
55	2
56	2
57	2
58	2
59	2
60	2
61	2
62	2
63	2
64	2
65	2
66	2
67	2
68	2
69	2
70	2
71	2
72	2
73	2
74	2
75	2
76	0
77	0
78	2
79	1
80	1
81	1
82	1
83	2
84	2
85	2
86	2
87	2
88	2
89	1
90	1
91	1
92	0
93	0
94	0
95	0
96	0
97	0
98	2
99	2
100	0
101	0
102	0
103	0
104	2
105	2
106	2
107	0
108	0
109	0
110	0
111	0
112	2
113	2
114	2
115	0
116	0
117	0
118	0
119	2
120	2
121	1
122	1
123	2
124	2
125	2
126	2
127	2
128	1
129	1
130	1
131	3
132	3
133	1
134	2
135	2
136	2
137	1
138	1
139	1
140	3
141	3
142	1
143	1
144	1
145	2
146	0
147	0
148	2
149	2
150	0
151	0
152	0
153	0
154	0
155	0
156	2
157	2
158	2
159	2
160	2
161	2
162	2
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	2
179	2
180	2
181	0
182	0
183	0
184	0
185	0
186	2
187	2
188	2
189	2
190	2
191	2
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	2
202	2
203	2
204	0
205	0
206	0
207	0
208	2
209	1
210	1
211	2
212	0
213	0
214	0
215	0
216	0
217	2
218	2
219	3
220	3
221	1
222	2
223	0
224	0
225	2
226	2
227	2
228	2
229	2
230	0
231	0
232	0
233	3
234	3
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	2
245	2
246	2
247	2
248	2
249	2
250	2
251	2
252	2
253	0
254	0
255	0
256	0
257	2
258	2
259	2
260	2
261	2
262	1
263	1
264	0
265	0
266	2
267	2
268	2
269	0
270	0
271	0
272	0
273	2
274	2
275	2
276	2
277	2
278	2
279	0
280	0
281	0
282	0
283	0
284	0
285	2
286	2
287	2
288	2
289	2
290	2
291	2
292	2
293	2
294	2
295	2
296	1
297	1
298	1
299	3
300	3
301	1
302	2
303	2
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	1
313	1
314	0
315	0
316	0
317	0
318	0
319	0
320	2
321	2
322	2
323	2
324	0
325	0
326	0
327	0
328	0
329	0
330	2
331	2
332	2
333	2
334	2
335	2
336	2
337	0
338	0
339	0
340	0
341	0
342	1
343	1
344	2
345	2
346	2
347	2
348	2
349	1
350	1
351	1
352	2
353	2
354	1
355	1
356	1
357	1
358	2
359	2
360	2
361	1
362	1
363	1
364	1
365	1
366	1
367	1
368	1
369	1
370	1
371	1
372	1
373	2
374	2
375	2
376	1
377	3
378	3
379	3
380	3
381	3
382	1
383	2
384	2
385	1
386	1
387	1
388	1
389	1
390	1
391	1
392	2
393	2
394	2
395	2
396	1
397	1
398	2
399	2
400	2
401	1
402	3
403	3
404	3
405	3
406	3
407	1
408	1
409	3
410	3
411	3
412	1
413	2
414	2
415	1
416	3
417	3
418	1
419	1
420	1
421	1
422	2
423	2
424	2
425	2
426	1
427	1
428	1
429	1
430	1
431	3
432	3
433	1
434	2
435	2
436	2
437	2
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	2
464	2
465	2
466	2
467	2
468	0
469	0
470	0
471	2
472	2
473	0
474	0
475	1
476	1
477	2
478	2
479	1
480	1
481	1
482	1
483	1
484	2
485	0
486	0
487	0
488	0
489	2
490	2
491	1
492	1
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	2
506	2
507	0
508	0
509	0
510	0
511	0
512	0
513	0
514	0
515	0
516	0
517	0
518	0
519	2
520	1
521	3
522	3
523	1
524	1
525	3
526	3
527	3
528	3
529	1
530	2
531	2
