subject	state	fractional_occupancy	mean_lifetime	mean_intervaltime
001	0	0.25755395683453236	2.1333333333333333	15.826086956521738
001	1	0.2	1.1071428571428572	12.637362637362637
001	2	0.0841726618705036	1.1764705882352942	36.22222222222222
001	3	0.45827338129496403	2.4858490566037736	7.293577981651376
002	0	0.26258992805755393	6.127272727272727	31.77777777777778
002	1	0.18920863309352517	1.6666666666666667	18.919354838709676
002	2	0.03597122302158273	0.717948717948718	47.61904761904762
002	3	0.5122302158273381	4.393103448275862	10.162162162162161
003	0	0.21510791366906476	2.088495575221239	17.483870967741936
003	1	0.17841726618705037	1.3153846153846154	14.43421052631579
003	2	0.10287769784172662	0.9278350515463918	22.076923076923077
003	3	0.5035971223021583	3.6867469879518073	8.89655172413793
004	0	0.14532374100719425	3.1666666666666665	34.13333333333333
004	1	0.18057553956834532	1.4918032786885247	17.36764705882353
004	2	0.05971223021582734	1.3111111111111111	49.52173913043478
004	3	0.6143884892086331	5.416666666666667	8.315068493150685
005	0	0.17194244604316547	1.6330275229357798	19.983333333333334
005	1	0.08633093525179857	0.9868421052631579	27.863636363636363
005	2	0.07194244604316546	1.1333333333333333	29.967741935483872
005	3	0.6697841726618705	6.377777777777778	7.463768115942029
006	0	0.17553956834532375	2.1538461538461537	17.404255319148938
006	1	0.30071942446043165	1.545	9.962962962962964
006	2	0.09640287769784173	1.0588235294117647	29.930232558139537
006	3	0.4273381294964029	2.6864864864864866	9.270833333333334
007	0	0.1669064748201439	1.5132743362831858	19.6
007	1	0.11294964028776978	1.0625	23.055555555555557
007	2	0.07410071942446043	1.2203389830508475	36.9
007	3	0.6460431654676259	4.770588235294118	6.674418604651163
009	0	0.16618705035971224	3.111111111111111	24.852941176470587
009	1	0.25971223021582734	1.2364532019704433	10.422018348623853
009	2	0.06402877697841726	1.0175438596491229	34.06666666666667
009	3	0.5100719424460431	3.1666666666666665	7.64
012	0	0.2776978417266187	6.754716981132075	32.51851851851852
012	1	0.10143884892086331	0.8686868686868687	23.166666666666668
012	2	0.04892086330935252	0.6909090909090909	36.51724137931034
012	3	0.5719424460431655	6.116666666666666	10.7
014	0	0.22805755395683452	3.341463414634146	26.0
014	1	0.27050359712230215	1.688235294117647	12.25
014	2	0.09928057553956834	1.5757575757575757	36.81818181818182
014	3	0.40215827338129495	3.0063291139240507	10.831325301204819
015	0	0.12302158273381295	2.843137254901961	42.88
015	1	0.36546762589928056	1.7935779816513762	8.568965517241379
015	2	0.0460431654676259	0.8888888888888888	49.04347826086956
015	3	0.4654676258992806	2.8947368421052633	8.666666666666666
016	0	0.27266187050359714	2.926605504587156	17.491525423728813
016	1	0.17194244604316547	1.3203125	17.347826086956523
016	2	0.06618705035971223	1.3958333333333333	53.333333333333336
016	3	0.4892086330935252	3.6790123456790123	8.975903614457831
018	0	0.03093525179856115	1.0833333333333333	78.8125
018	1	0.4309352517985611	1.6093189964157706	6.308724832214765
018	2	0.046762589928057555	0.7755102040816326	51.57692307692308
018	3	0.4913669064748201	2.0839694656488548	6.080882352941177
019	0	0.11007194244604317	2.0166666666666666	36.645161290322584
019	1	0.30287769784172663	1.4927536231884058	9.36936936936937
019	2	0.07482014388489208	1.1639344262295082	36.40625
019	3	0.5122302158273381	3.2094240837696337	7.683673469387755
020	0	0.19640287769784173	1.8347826086956522	18.75409836065574
020	1	0.22877697841726619	1.2906976744186047	11.863157894736842
020	2	0.09712230215827339	1.2837837837837838	30.794871794871796
020	3	0.4776978417266187	2.911917098445596	8.188118811881187
021	0	0.17050359712230215	3.0	29.65714285714286
021	1	0.30719424460431655	1.4669811320754718	9.2
021	2	0.04748201438848921	0.6792452830188679	44.62068965517241
021	3	0.4748201438848921	2.5185185185185186	7.304347826086956
022	0	0.27913669064748203	3.2745098039215685	18.0
022	1	0.1776978417266187	1.095890410958904	13.94186046511628
022	2	0.0776978417266187	0.8571428571428571	31.804878048780488
022	3	0.4654676258992806	3.021857923497268	8.709677419354838
024	0	0.3446043165467626	3.5641025641025643	14.524590163934427
024	1	0.2568345323741007	1.3977900552486189	10.970873786407767
024	2	0.09712230215827339	0.9662921348314607	26.875
024	3	0.3014388489208633	1.598984771573604	10.398058252427184
